QB,RB,WR,WR,FLEX,FLEX,DST,,,,Instructions,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,B.J. Cunningham (7206084),B.J. Cunningham,7206084,4600,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,Kenny Stafford (7206088),Kenny Stafford,7206088,4500,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,Greg Wilson (7206111),Greg Wilson,7206111,4500,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,DST,Alouettes  (7206177),Alouettes ,7206177,4400,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,Kienan Lafrance (7206065),Kienan Lafrance,7206065,4000,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,RB,Stefan Logan (7206056),Stefan Logan,7206056,3900,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,Tory Harrison (7206070),Tory Harrison,7206070,3900,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,WR,Lemar Durant (7206115),Lemar Durant,7206115,3800,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,WR,Geraldo Boldewijn (7206107),Geraldo Boldewijn,7206107,3600,Cgy@BC 10:00PM ET,BC
,,,,,,,,,,RB,Roy Finch (7206073),Roy Finch,7206073,3600,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,WR,Khalil Paden (7206086),Khalil Paden,7206086,3500,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Jamill Smith (7206090),Jamill Smith,7206090,3400,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Juron Criner (7206085),Juron Criner,7206085,3200,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Samuel Giguere (7206087),Samuel Giguere,7206087,3200,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,Jake Harty (7206096),Jake Harty,7206096,3200,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Simon Charbonneau-Campeau (7206113),Simon Charbonneau-Campeau,7206113,3100,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,WR,Corbin Louks (7206082),Corbin Louks,7206082,3000,Mtl@Ott 07:00PM ET,Mtl
